Start,Ziel,Entfernung
GESEKE (A 44),BUEREN (A 44),5
BUEREN (A 44),KREUZ WUENNENBERG - HAAREN,10
KREUZ WUENNENBERG - HAAREN,LICHTENAU (A 44),10
LICHTENAU (A 44),MARSBERG (A 44),9
MARSBERG (A 44),DIEMELSTADT (A 44),5
DIEMELSTADT (A 44),WARBURG (A 44),7
WARBURG (A 44),BREUNA (A 44),10
BREUNA (A 44),ZIERENBERG (A 44),13
ZIERENBERG (A 44),KASSEL - BAD WILHELMSHOEHE (A 44),10
KASSEL - BAD WILHELMSHOEHE (A 44),KREUZ KASSEL - WEST,4
KREUZ KASSEL - WEST,DREIECK KASSEL - SUED,4
DREIECK KASSEL - SUED,KREUZ KASSEL - MITTE,2.5
KREUZ KASSEL - MITTE,KASSEL - OST   LOSSETALDREIECK,3
KASSEL - OST   LOSSETALDREIECK,KAUFUNGEN (A 44),2
KAUFUNGEN (A 44),HELSA - WEST (A 44),7
HELSA - WEST (A 44),HELSA - OST (A 44),2
HELSA - OST (A 44),HESSISCH LICHTENAU - WEST (A 44),6
HESSISCH LICHTENAU - WEST (A 44),HESSISCH LICHTENAU - MITTE (A 44),2
HESSISCH LICHTENAU - MITTE (A 44),HESSISCH LICHTENAU - OST  (Westteil) (A 44),3
HESSISCH LICHTENAU - OST  (Westteil) (A 44),HESSISCH LICHTENAU - OST  (Ostteil) (A 44),0.5
KREUZ DORTMUND - NORDWEST,KREUZ CASTROP - RAUXEL - OST,3
KREUZ CASTROP - RAUXEL - OST,DORTMUND - HAFEN (A 45),5
DORTMUND - HAFEN (A 45),KREUZ DORTMUND - WEST,3
KREUZ DORTMUND - WEST,DORTMUND - EICHLINGHOFEN (A 45),2
DORTMUND - EICHLINGHOFEN (A 45),KREUZ DORTMUND / WITTEN,2
KREUZ DORTMUND / WITTEN,DORTMUND - SUED (A 45),6
DORTMUND - SUED (A 45),WESTHOFENER KREUZ,3
WESTHOFENER KREUZ,SCHWERTE - ERGSTE (A 45),3
SCHWERTE - ERGSTE (A 45),KREUZ HAGEN,5
KREUZ HAGEN,HAGEN - SUED (A 45),3
HAGEN - SUED (A 45),LUEDENSCHEID - NORD (A 45),13
LUEDENSCHEID - NORD (A 45),LUEDENSCHEID (A 45),5
LUEDENSCHEID (A 45),LUEDENSCHEID - SUED (A 45),5
LUEDENSCHEID - SUED (A 45),MEINERZHAGEN (A 45),12
MEINERZHAGEN (A 45),DROLSHAGEN (A 45),9
DROLSHAGEN (A 45),OLPE (A 45),5
OLPE (A 45),KREUZ OLPE - SUED,5
KREUZ OLPE - SUED,FREUDENBERG (A 45),11
FREUDENBERG (A 45),SIEGEN (A 45),8
SIEGEN (A 45),SIEGEN - SUED (A 45),5
SIEGEN - SUED (A 45),WILNSDORF (A 45),5
WILNSDORF (A 45),HAIGER / BURBACH (A 45),9
HAIGER / BURBACH (A 45),DILLENBURG (A 45),8
DILLENBURG (A 45),HERBORN - WEST (A 45),9
HERBORN - WEST (A 45),HERBORN - SUED (A 45),3
HERBORN - SUED (A 45),EHRINGSHAUSEN (A 45),8
EHRINGSHAUSEN (A 45),WETZLARER KREUZ,8
WETZLARER KREUZ,KREUZ WETZLAR - OST,5
KREUZ WETZLAR - OST,WETZLAR - SUED (A 45),2
WETZLAR - SUED (A 45),GIESSEN - LUETZELLINDEN (A 45),4
GIESSEN - LUETZELLINDEN (A 45),GIESSENER SUEDKREUZ,3
GIESSENER SUEDKREUZ,LANGGOENS - OST (A 45),4
LANGGOENS - OST (A 45),GAMBACHER KREUZ,5
GAMBACHER KREUZ,MUENZENBERG (A 45),2
MUENZENBERG (A 45),WOELFERSHEIM (A 45),10
WOELFERSHEIM (A 45),FLORSTADT (A 45),14
FLORSTADT (A 45),ALTENSTADT (A 45),6
ALTENSTADT (A 45),HAMMERSBACH (A 45),6
HAMMERSBACH (A 45),LANGENSELBOLD - WEST (A 45),7
LANGENSELBOLD - WEST (A 45),LANGENSELBOLDER DREIECK,2
LANGENSELBOLDER DREIECK,HANAUER KREUZ (A 45),4
HANAUER KREUZ (A 45),ALZENAU - NORD (A 45),7
ALZENAU - NORD (A 45),ALZENAU - MITTE (A 45),1
ALZENAU - MITTE (A 45),KARLSTEIN (A 45),5
KARLSTEIN (A 45),KLEINOSTHEIM (A 45),3
KLEINOSTHEIM (A 45),KREUZ MAINHAUSEN,2
KREUZ MAINHAUSEN,SELIGENSTAEDTER DREIECK,2
HEINSBERG (A 46),DREMMEN (A 46),5
DREMMEN (A 46),HUECKELHOVEN - WEST (A 46),3
HUECKELHOVEN - WEST (A 46),HUECKELHOVEN - OST (A 46),3
HUECKELHOVEN - OST (A 46),KREUZ HUECKELHOVEN,2
KREUZ HUECKELHOVEN,ERKELENZ - SUED (A 46),3
ERKELENZ - SUED (A 46),ERKELENZ - OST (A 46),3
ERKELENZ - OST (A 46),KREUZ MOENCHENGLADBACH - WANLO,7
KREUZ MOENCHENGLADBACH - WANLO,DREIECK HOLZ,4
DREIECK HOLZ,JUECHEN,4
JUECHEN,GREVENBROICH (A 46),2
GREVENBROICH (A 46),GREVENBROICH - KAPELLEN (A 46),5
GREVENBROICH - KAPELLEN (A 46),NEUSS - HOLZHEIM (A 46),3.5
NEUSS - HOLZHEIM (A 46),KREUZ NEUSS - WEST,3
KREUZ NEUSS - WEST,KREUZ NEUSS - SUED,6
KREUZ NEUSS - SUED,NEUSS - UEDESHEIM (A 46),1
NEUSS - UEDESHEIM (A 46),DUESSELDORF - BILK (A 46),4
DUESSELDORF - BILK (A 46),DUESSELDORF - WERSTEN (Westteil) (A 46),1
DUESSELDORF - WERSTEN (Westteil) (A 46),DUESSELDORF - WERSTEN (Ostteil) (A 46),1
DUESSELDORF - WERSTEN (Ostteil) (A 46),DUESSELDORF - HOLTHAUSEN (A 46),2
DUESSELDORF - HOLTHAUSEN (A 46),DUESSELDORF - ELLER (A 46),1
DUESSELDORF - ELLER (A 46),KREUZ DUESSELDORF - SUED,1
KREUZ DUESSELDORF - SUED,ERKRATH (A 46),3
ERKRATH (A 46),KREUZ HILDEN,2
KREUZ HILDEN,HILDEN (A 46),0.3
HILDEN (A 46),HAAN - WEST (A 46),2
HAAN - WEST (A 46),HAAN - OST (A 46),5
HAAN - OST (A 46),WUPPERTAL - CRONENBERG (A 46),4
WUPPERTAL - CRONENBERG (A 46),WUPPERTAL - SONNBORN (A 46),1
WUPPERTAL - SONNBORN (A 46),SONNBORNER KREUZ,0.5
SONNBORNER KREUZ,WUPPERTAL - VARRESBECK (A 46),2
WUPPERTAL - VARRESBECK (A 46),WUPPERTAL - KATERNBERG (A 46),2
WUPPERTAL - KATERNBERG (A 46),WUPPERTAL - ELBERFELD (A 46),2
WUPPERTAL - ELBERFELD (A 46),WUPPERTAL - BARMEN (A 46),2
WUPPERTAL - BARMEN (A 46),WUPPERTAL - WICHLINGHAUSEN (A 46),2
WUPPERTAL - WICHLINGHAUSEN (A 46),WUPPERTAL - OBERBARMEN (A 46),4
WUPPERTAL - OBERBARMEN (A 46),KREUZ WUPPERTAL - NORD (Westteil),1
KREUZ WUPPERTAL - NORD (Westteil),KREUZ WUPPERTAL - NORD (Ostteil),0.5
KREUZ WUPPERTAL - NORD (Ostteil),KREUZ HAGEN,17.5
KREUZ HAGEN,HAGEN - HOHENLIMBURG (A 46),2
HAGEN - HOHENLIMBURG (A 46),HAGEN - ELSEY (A 46),2
HAGEN - ELSEY (A 46),ISERLOHN - LETMATHE (A 46),2
ISERLOHN - LETMATHE (A 46),ISERLOHN - OESTRICH (A 46),1
ISERLOHN - OESTRICH (A 46),ISERLOHN - ZENTRUM (A 46),4
ISERLOHN - ZENTRUM (A 46),KREUZ ISERLOHN - SEILERSEE,2
KREUZ ISERLOHN - SEILERSEE,HEMER (A 46),2
HEMER (A 46),MENDEN - WEST (A 46),5
MENDEN - WEST (A 46),MENDEN - SUED (A 46),2
MENDEN - SUED (A 46),VOSSWINKEL - WEST (A 46),7
VOSSWINKEL - WEST (A 46),VOSSWINKEL - OST (A 46),3
VOSSWINKEL - OST (A 46),NEHEIM (A 46),5
NEHEIM (A 46),NEHEIM - SUED (A 46),2
NEHEIM - SUED (A 46),HUESTEN (A 46),2
HUESTEN (A 46),ARNSBERG - ALTSTADT (A 46),5
ARNSBERG - ALTSTADT (A 46),ARNSBERG - OST (A 46),3
ARNSBERG - OST (A 46),FREIENOHL (A 46),6
FREIENOHL (A 46),WENNEMEN (A 46),4
WENNEMEN (A 46),ENSTE (A 46),4
ENSTE (A 46),KREUZ MESCHEDE,3
KREUZ MESCHEDE,BESTWIG (A 46),5
BESTWIG (A 46),NUTTLAR (A 46),5
DREIECK VULKANEIFEL,ULMEN (A 48),6
ULMEN (A 48),LAUBACH (A 48),9
LAUBACH (A 48),KAISERSESCH (A 48),6
KAISERSESCH (A 48),KAIFENHEIM (A 48),6
KAIFENHEIM (A 48),MAYEN (A 48),6
MAYEN (A 48),POLCH (A 48),5
POLCH (A 48),OCHTENDUNG (A 48),8
OCHTENDUNG (A 48),KREUZ KOBLENZ,7
KREUZ KOBLENZ,KOBLENZ - NORD (A 48),6
KOBLENZ - NORD (A 48),BENDORF / NEUWIED (A 48),3
BENDORF / NEUWIED (A 48),DREIECK HOEHR - GRENZHAUSEN,8
DREIECK HOEHR - GRENZHAUSEN,DREIECK DERNBACH,8
AM LOHFELDENER RUESSEL (A 49),KREUZ KASSEL - MITTE,0.4
KREUZ KASSEL - MITTE,KASSEL - INDUSTRIEPARK (A 49),1
KASSEL - INDUSTRIEPARK (A 49),KASSEL - WALDAU (A 49),2
KASSEL - WALDAU (A 49),KASSEL - AUESTADION (A 49),1
KASSEL - AUESTADION (A 49),KASSEL - NIEDERZWEHREN (A 49),2
KASSEL - NIEDERZWEHREN (A 49),KREUZ KASSEL - WEST,1
KREUZ KASSEL - WEST,BAUNATAL - NORD (A 49),1
BAUNATAL - NORD (A 49),BAUNATAL - MITTE (A 49),2
BAUNATAL - MITTE (A 49),BAUNATAL - SUED (A 49),2
BAUNATAL - SUED (A 49),EDERMUENDE (A 49),2
EDERMUENDE (A 49),FELSBERG (A 49),1
FELSBERG (A 49),GUDENSBERG (A 49),4
GUDENSBERG (A 49),FRITZLAR (A 49),7
FRITZLAR (A 49),WABERN (A 49),6
WABERN (A 49),BORKEN (A 49),5
BORKEN (A 49),NEUENTAL (A 49),8
NEUENTAL (A 49),SCHWALMSTADT (A 49),11
ELMPT (A 52),NIEDERKRUECHTEN (A 52),6
NIEDERKRUECHTEN (A 52),SCHWALMTAL (A 52),3
SCHWALMTAL (A 52),KREUZ SCHWALMTAL,3
KREUZ SCHWALMTAL,HOSTERT (A 52),1
HOSTERT (A 52),MOENCHENGLADBACH - HARDT (A 52),3
MOENCHENGLADBACH - HARDT (A 52),KREUZ MOENCHENGLADBACH,2
KREUZ MOENCHENGLADBACH,MOENCHENGLADBACH - NORD (A 52),4
MOENCHENGLADBACH - NORD (A 52),MOENCHENGLADBACH - NEUWERK (A 52),2
MOENCHENGLADBACH - NEUWERK (A 52),KREUZ NEERSEN,3
KREUZ NEERSEN,SCHIEFBAHN (A 52),4
SCHIEFBAHN (A 52),KAARST - NORD (A 52),6
KAARST - NORD (A 52),KREUZ KAARST,1
KREUZ KAARST,BUEDERICH (A 52),5
BUEDERICH (A 52),DUESSELDORF - RATH (A 52),10.7
DUESSELDORF - RATH (A 52),KREUZ DUESSELDORF - NORD  (Südteil),0.5
KREUZ DUESSELDORF - NORD  (Südteil),KREUZ DUESSELDORF - NORD  (Nordteil),1
KREUZ DUESSELDORF - NORD  (Nordteil),RATINGEN (A 52),0.5
RATINGEN (A 52),TIEFENBROICH (A 52),3
TIEFENBROICH (A 52),DREIECK BREITSCHEID,3
DREIECK BREITSCHEID,KREUZ BREITSCHEID,0.5
KREUZ BREITSCHEID,BREITSCHEID (A 52),0.5
BREITSCHEID (A 52),ESSEN - KETTWIG (A 52),8
ESSEN - KETTWIG (A 52),ESSEN - HAARZOPF  (Westteil) (A 52),2
ESSEN - HAARZOPF  (Westteil) (A 52),ESSEN - RUETTENSCHEID  (Westteil) (A 52),1
ESSEN - RUETTENSCHEID  (Westteil) (A 52),ESSEN - HAARZOPF  (Ostteil) (A 52),0.5
ESSEN - HAARZOPF  (Ostteil) (A 52),ESSEN - RUETTENSCHEID  (Ostteil) (A 52),0.5
ESSEN - RUETTENSCHEID  (Ostteil) (A 52),ESSEN - SUED (A 52),2
ESSEN - SUED (A 52),KREUZ ESSEN - BERGERHAUSEN,1
KREUZ ESSEN - BERGERHAUSEN,DREIECK ESSEN - OST,1
DREIECK ESSEN - OST,KREUZ ESSEN - NORD,7
KREUZ ESSEN - NORD,KREUZ GLADBECK,6
KREUZ GLADBECK,GELSENKIRCHEN - BUER - WEST (A 52),3.8
GELSENKIRCHEN - BUER - WEST (A 52),GELSENKIRCHEN - SCHOLVEN (A 52),1
GELSENKIRCHEN - SCHOLVEN (A 52),DREIECK GE. - BUER - NORD,1
DREIECK GE. - BUER - NORD,GELSENKIRCHEN - HASSEL (A 52),2
GELSENKIRCHEN - HASSEL (A 52),DREIECK DORSTEN - OST,3
DREIECK DORSTEN - OST,MARL - FRENTROP (A 52),2
MARL - FRENTROP (A 52),MARL - BRASSERT (A 52),3
MARL - BRASSERT (A 52),MARL - ZENTRUM (A 52),2
MARL - ZENTRUM (A 52),MARL - HAMM (A 52),2
MARL - HAMM (A 52),KREUZ MARL - NORD,3
Bundesgrenze Goch NL-D (A 57),KLEVE (A 57),6
KLEVE (A 57),GOCH (A 57),5
GOCH (A 57),KREUZ UEDEM,8
KREUZ UEDEM,SONSBECK (A 57),6
SONSBECK (A 57),ALPEN (A 57),11
ALPEN (A 57),KREUZ RHEINBERG,8
KREUZ RHEINBERG,ASDONKSHOF (A 57),2
ASDONKSHOF (A 57),KAMP - LINTFORT (A 57),2
KAMP - LINTFORT (A 57),KREUZ KAMP - LINTFORT,1
KREUZ KAMP - LINTFORT,MOERS - HUELSDONK (A 57),4
MOERS - HUELSDONK (A 57),KREUZ MOERS,3
KREUZ MOERS,MOERS - KAPELLEN (A 57),4
MOERS - KAPELLEN (A 57),KREUZ KREFELD - GARTENSTADT,4
KREUZ KREFELD - GARTENSTADT,KREUZ KREFELD - ZENTRUM,3
KREUZ KREFELD - ZENTRUM,KREUZ KREFELD - OPPUM,2
KREUZ KREFELD - OPPUM,KREUZ MEERBUSCH,4
KREUZ MEERBUSCH,BOVERT (A 57),3
BOVERT (A 57),KREUZ KAARST,4
KREUZ KAARST,HOLZBUETTGEN (A 57),2
HOLZBUETTGEN (A 57),NEUSS (A 57),2
NEUSS (A 57),KREUZ NEUSS - WEST,2
KREUZ NEUSS - WEST,NEUSS - REUSCHENBERG (A 57),1
NEUSS - REUSCHENBERG (A 57),NEUSS - HAFEN (A 57),1
NEUSS - HAFEN (A 57),NEUSS - NORF (A 57),2
NEUSS - NORF (A 57),KREUZ NEUSS - SUED,2
KREUZ NEUSS - SUED,DORMAGEN (Nordteil) (A 57),8
DORMAGEN (Nordteil) (A 57),DORMAGEN (Südteil) (A 57),1
DORMAGEN (Südteil) (A 57),KREUZ KOELN - WORRINGEN,5
KREUZ KOELN - WORRINGEN,KOELN - CHORWEILER (A 57),5
KOELN - CHORWEILER (A 57),KREUZ KOELN - NORD,2
KREUZ KOELN - NORD,KOELN - LONGERICH (A 57),0.5
KOELN - LONGERICH (A 57),KOELN - BICKENDORF (A 57),3
KOELN - BICKENDORF (A 57),KOELN - EHRENFELD (A 57),9.9
KREUZ DINSLAKEN - WEST,DINSLAKEN - WEST (A 59),6
DINSLAKEN - WEST (A 59),DINSLAKEN - HIESFELD (A 59),1
DINSLAKEN - HIESFELD (A 59),DUISBURG - WALSUM (A 59),2
DUISBURG - WALSUM (A 59),DUISBURG - FAHRN (A 59),2
DUISBURG - FAHRN (A 59),DUISBURG - MARXLOH (Nordteil) (A 59),1
DUISBURG - MARXLOH (Nordteil) (A 59),DUISBURG - MARXLOH (Südteil) (A 59),0.4
DUISBURG - MARXLOH (Südteil) (A 59),DUISBURG - ALTHAMBORN (A 59),2
DUISBURG - ALTHAMBORN (A 59),KREUZ DUISBURG - NORD,0.3
KREUZ DUISBURG - NORD,DUISBURG - MEIDERICH (A 59),2
DUISBURG - MEIDERICH (A 59),DUISBURG - RUHRORT (A 59),1
DUISBURG - RUHRORT (A 59),KREUZ DUISBURG,2
KREUZ DUISBURG,DUISBURG - DUISSERN (A 59),2
DUISBURG - DUISSERN (A 59),DUISBURG - ZENTRUM (A 59),1
DUISBURG - ZENTRUM (A 59),DUISBURG - HOCHFELD (A 59),1
DUISBURG - HOCHFELD (A 59),DUISBURG - WANHEIMERORT (A 59),1
DUISBURG - WANHEIMERORT (A 59),DUISBURG - BUCHHOLZ (A 59),3
DUISBURG - BUCHHOLZ (A 59),DUISBURG - GROSSENBAUM (A 59),1
DUISBURG - GROSSENBAUM (A 59),KREUZ DUISBURG - SUED,2
KREUZ DUISBURG - SUED,KREUZ DUESSELDORF - NORD  (Westteil),8.3
KREUZ DUESSELDORF - NORD  (Westteil),KREUZ DUESSELDORF - NORD  (Nordteil),0.5
KREUZ DUESSELDORF - NORD  (Nordteil),KREUZ DUESSELDORF - NORD  (Südteil),1
KREUZ DUESSELDORF - NORD  (Südteil),KREUZ DUESSELDORF - SUED,11
KREUZ DUESSELDORF - SUED,DUESSELDORF - BENRATH (A 59),2
DUESSELDORF - BENRATH (A 59),DUESSELDORF - GARATH (A 59),3
DUESSELDORF - GARATH (A 59),RICHRATH (A 59),4
RICHRATH (A 59),MONHEIM (A 59),2
MONHEIM (A 59),KREUZ MONHEIM - SUED,2
KREUZ MONHEIM - SUED,RHEINDORF (A 59),3
RHEINDORF (A 59),KREUZ LEVERKUSEN - WEST,3
KREUZ LEVERKUSEN - WEST,DREIECK KOELN - HEUMAR,19
DREIECK KOELN - HEUMAR,RATH (A 59),2
RATH (A 59),DREIECK PORZ,0.5
DREIECK PORZ,KOELN - FLUGHAFEN (A 59),3
KOELN - FLUGHAFEN (A 59),KOELN - WAHN (A 59),3
KOELN - WAHN (A 59),LIND (A 59),2
LIND (A 59),SPICH (A 59),3
SPICH (A 59),TROISDORF (A 59),2
TROISDORF (A 59),DREIECK ST. AUGUSTIN - WEST,2
DREIECK ST. AUGUSTIN - WEST,DREIECK BONN - NORDOST,3
DREIECK BONN - NORDOST,BONN - VILICH (A 59),2
BONN - VILICH (A 59),BONN - PUETZCHEN (A 59),1
BONN - PUETZCHEN (A 59),KREUZ BONN - OST,3
WINTERSPELT (A 60),BLEIALF (A 60),5
BLEIALF (A 60),PRUEM (A 60),12
PRUEM (A 60),WAXWEILER (A 60),10
WAXWEILER (A 60),BITBURG (A 60),9
BITBURG (A 60),BADEM (A 60),7
BADEM (A 60),SPANGDAHLEM (A 60),6
SPANGDAHLEM (A 60),LANDSCHEID,7
LANDSCHEID,WITTLICH - WEST (A 60),6
WITTLICH - WEST (A 60),KREUZ WITTLICH,3
KREUZ WITTLICH,DREIECK NAHETAL,200
DREIECK NAHETAL,BINGEN - OST (A 60),3
BINGEN - OST (A 60),INGELHEIM - WEST (A 60),6
INGELHEIM - WEST (A 60),INGELHEIM - OST (A 60),5
INGELHEIM - OST (A 60),HEIDESHEIM (A 60),3
HEIDESHEIM (A 60),DREIECK MAINZ,3
DREIECK MAINZ,MAINZ - FINTHEN (A 60),2
MAINZ - FINTHEN (A 60),MAINZ - LERCHENBERG (A 60),3
MAINZ - LERCHENBERG (A 60),KREUZ MAINZ - SUED,1
KREUZ MAINZ - SUED,MAINZ - HECHTSHEIM - WEST (A 60),1
MAINZ - HECHTSHEIM - WEST (A 60),MAINZ - HECHTSHEIM - OST (A 60),1
MAINZ - HECHTSHEIM - OST (A 60),MAINZ - WEISENAU (A 60),1
MAINZ - WEISENAU (A 60),MAINZ - LAUBENHEIM (A 60),2
MAINZ - LAUBENHEIM (A 60),GINSHEIM - GUSTAVSBURG (A 60),2
GINSHEIM - GUSTAVSBURG (A 60),MAINSPITZ-DREIECK,0.3
MAINSPITZ-DREIECK,BISCHOFSHEIM (A 60),3
BISCHOFSHEIM (A 60),RUESSELSHEIM - MITTE (A 60),2
RUESSELSHEIM - MITTE (A 60),RUESSELSHEIM - KOENIGSTAEDTEN (A 60),2
RUESSELSHEIM - KOENIGSTAEDTEN (A 60),RUESSELSHEIMER DREIECK,2
KALDENKIRCHEN,KALDENKIRCHEN - SUED (A 61),2
KALDENKIRCHEN - SUED (A 61),BREYELL (A 61),3
BREYELL (A 61),NETTETAL (A 61),2
NETTETAL (A 61),KREUZ VIERSEN,4
KREUZ VIERSEN,SUECHTELN (A 61),1
SUECHTELN (A 61),VIERSEN (A 61),2
VIERSEN (A 61),MACKENSTEIN (A 61),2
MACKENSTEIN (A 61),KREUZ MOENCHENGLADBACH,3
KREUZ MOENCHENGLADBACH,MOENCHENGLADBACH - NORDPARK (A 61),2
MOENCHENGLADBACH - NORDPARK (A 61),MOENCHENGLADBACH - HOLT (A 61),2
MOENCHENGLADBACH - HOLT (A 61),MOENCHENGLADBACH - RHEYDT (A 61),3
MOENCHENGLADBACH - RHEYDT (A 61),MOENCHENGLADBACH - WICKRATH (A 61),2
MOENCHENGLADBACH - WICKRATH (A 61),KREUZ MOENCHENGLADBACH - GUEDDERATH,3
KREUZ MOENCHENGLADBACH - GUEDDERATH,KREUZ MOENCHENGLADBACH - WANLO,2
KREUZ MOENCHENGLADBACH - WANLO,MOENCHENGLADBACH - WANLO (A 61),1
MOENCHENGLADBACH - WANLO (A 61),JACKERATH (A 61),7
JACKERATH (A 61),DREIECK JACKERATH,0.5
DREIECK JACKERATH,BEDBURG (A 61),8
BEDBURG (A 61),KREUZ BERGHEIM,7
KREUZ BERGHEIM,BERGHEIM - SUED (A 61),3
BERGHEIM - SUED (A 61),KREUZ KERPEN,6
KREUZ KERPEN,TUERNICH (A 61),4
TUERNICH (A 61),GYMNICH (A 61),4
GYMNICH (A 61),DREIECK ERFTTAL,3
DREIECK ERFTTAL,KREUZ BLIESHEIM,6
KREUZ BLIESHEIM,WEILERSWIST (A 61),4
WEILERSWIST (A 61),SWISTTAL - HEIMERZHEIM (A 61),4
SWISTTAL - HEIMERZHEIM (A 61),MIEL (A 61),4
MIEL (A 61),RHEINBACH (A 61),8
RHEINBACH (A 61),KREUZ MECKENHEIM,5
KREUZ MECKENHEIM,DREIECK BAD NEUENAHR - AHRWEILER,7
DREIECK BAD NEUENAHR - AHRWEILER,DREIECK SINZIG,8
DREIECK SINZIG,NIEDERZISSEN (A 61),8
NIEDERZISSEN (A 61),WEHR (A 61),7
WEHR (A 61),MENDIG (A 61),4
MENDIG (A 61),KRUFT (A 61),6
KRUFT (A 61),PLAIDT (A 61),4
PLAIDT (A 61),KREUZ KOBLENZ,8
KREUZ KOBLENZ,KOBLENZ - METTERNICH (A 61),2
KOBLENZ - METTERNICH (A 61),KOBLENZ / DIEBLICH (A 61),6
KOBLENZ / DIEBLICH (A 61),KOBLENZ / WALDESCH (A 61),7
KOBLENZ / WALDESCH (A 61),BOPPARD (A 61),5
BOPPARD (A 61),EMMELSHAUSEN (A 61),7
EMMELSHAUSEN (A 61),PFALZFELD (A 61),5
PFALZFELD (A 61),LAUDERT (A 61),5
LAUDERT (A 61),RHEINBOELLEN (A 61),11
RHEINBOELLEN (A 61),STROMBERG (A 61),10
STROMBERG (A 61),WALDLAUBERSHEIM (A 61),4
WALDLAUBERSHEIM (A 61),DORSHEIM (A 61),4
DORSHEIM (A 61),BINGEN - MITTE (A 61),3
BINGEN - MITTE (A 61),DREIECK NAHETAL,2
DREIECK NAHETAL,BAD KREUZNACH (A 61),4
BAD KREUZNACH (A 61),GAU - BICKELHEIM (A 61),7
GAU - BICKELHEIM (A 61),BORNHEIM (A 61),10
BORNHEIM (A 61),KREUZ ALZEY,2
KREUZ ALZEY,ALZEY (A 61),3
ALZEY (A 61),GUNDERSHEIM (A 61),10
GUNDERSHEIM (A 61),WORMS / MOERSTADT (A 61),6
WORMS / MOERSTADT (A 61),WORMS (A 61),5
WORMS (A 61),KREUZ FRANKENTHAL,8
KREUZ FRANKENTHAL,KREUZ LUDWIGSHAFEN,9
KREUZ LUDWIGSHAFEN,KREUZ MUTTERSTADT,4
KREUZ MUTTERSTADT,MUTTERSTADT - WEST (A 61),0.5
MUTTERSTADT - WEST (A 61),SCHIFFERSTADT (A 61),6
SCHIFFERSTADT (A 61),KREUZ SPEYER,8
KREUZ SPEYER,HOCKENHEIM (A 61),7
HOCKENHEIM (A 61),DREIECK HOCKENHEIM,4
DREIECK NONNWEILER,OTZENHAUSEN (A 62),0.3
OTZENHAUSEN (A 62),NOHFELDEN - TUERKISMUEHLE (A 62),8
NOHFELDEN - TUERKISMUEHLE (A 62),BIRKENFELD (A 62),6
BIRKENFELD (A 62),FREISEN (A 62),9
FREISEN (A 62),REICHWEILER (A 62),4
REICHWEILER (A 62),KUSEL (A 62),7
KUSEL (A 62),GLAN - MUENCHWEILER (A 62),9
GLAN - MUENCHWEILER (A 62),HUETSCHENHAUSEN (A 62),6
HUETSCHENHAUSEN (A 62),KREUZ LANDSTUHL - WEST,3
KREUZ LANDSTUHL - WEST,LANDSTUHL - ATZEL (A 62),2
LANDSTUHL - ATZEL (A 62),BANN (A 62),3.5
BANN (A 62),WESELBERG (A 62),7
WESELBERG (A 62),THALEISCHWEILER - FROESCHEN (A 62),9
THALEISCHWEILER - FROESCHEN (A 62),PIRMASENS (A 62),4
PIRMASENS (A 62),PIRMASENS - WINZELN  DREIECK PIRMASENS (A 62),1
KREUZ MAINZ - SUED,KLEIN - WINTERNHEIM (A 63),2
KLEIN - WINTERNHEIM (A 63),NIEDER - OLM (A 63),5
NIEDER - OLM (A 63),SAULHEIM (A 63),2
SAULHEIM (A 63),WOERRSTADT (A 63),7
WOERRSTADT (A 63),BIEBELNHEIM (A 63),5
BIEBELNHEIM (A 63),KREUZ ALZEY,3
KREUZ ALZEY,ERBES - BUEDESHEIM (A 63),4
ERBES - BUEDESHEIM (A 63),FREIMERSHEIM (A 63),4
FREIMERSHEIM (A 63),KIRCHHEIMBOLANDEN (A 63),7
KIRCHHEIMBOLANDEN (A 63),GOELLHEIM (A 63),7
GOELLHEIM (A 63),WINNWEILER (A 63),12
WINNWEILER (A 63),SEMBACH (A 63),6
SEMBACH (A 63),KAISERSLAUTERN (A 63),6
KAISERSLAUTERN (A 63),DREIECK KAISERSLAUTERN,0.5
Bundesgrenze Messenich L-D (A 64),KONZ (A 64),3
KONZ (A 64),TRIER (A 64),6
TRIER (A 64),TRIER - OST (A 64),5
TRIER - OST (A 64),DREIECK TRIER,9.2
DREIECK LUDWIGSHAFEN - SUED,LUDWIGSHAFEN - OGGERSHEIMER STRASSE (A 65),0.5
LUDWIGSHAFEN - OGGERSHEIMER STRASSE (A 65),MUTTERSTADT (A 65),2
MUTTERSTADT (A 65),KREUZ MUTTERSTADT,1
KREUZ MUTTERSTADT,DANNSTADT - SCHAUERNHEIM (A 65),2
DANNSTADT - SCHAUERNHEIM (A 65),HOCHDORF - ASSENHEIM (A 65),1
HOCHDORF - ASSENHEIM (A 65),HASSLOCH (A 65),6
HASSLOCH (A 65),DEIDESHEIM (A 65),3
DEIDESHEIM (A 65),NEUSTADT - NORD (A 65),3
NEUSTADT - NORD (A 65),NEUSTADT - SUED (A 65),4
NEUSTADT - SUED (A 65),EDENKOBEN (A 65),5
EDENKOBEN (A 65),LANDAU - NORD  (Nordteil) (A 65),7
LANDAU - NORD  (Nordteil) (A 65),LANDAU - NORD  (Südteil) (A 65),1
LANDAU - NORD  (Südteil) (A 65),LANDAU - ZENTRUM (A 65),3
LANDAU - ZENTRUM (A 65),LANDAU - SUED (A 65),2
